dataset,model,method,mean,std,baseline,delta,abs_delta,removed_pct,efficiency,improved,avg_removed_pct
cmc,xgboost,ZScore,0.51661,0.01925,0.52339,-0.006780000000000008,0.006780000000000008,1.44,-0.0047083333333333395,False,8.069230769230769
cmc,xgboost,IsolationForest,0.51729,0.01416,0.52339,-0.006099999999999994,0.006099999999999994,4.95,-0.0012323232323232312,False,4.9772727272727275
cmc,xgboost,IQR,0.52475,0.02105,0.52339,0.0013600000000000279,0.0013600000000000279,3.08,0.0004415584415584506,True,26.813076923076924
credit-g,xgboost,ZScore,0.734,0.01715,0.734,0.0,0.0,0.0,0.0,False,8.069230769230769
credit-g,xgboost,IQR,0.734,0.01715,0.734,0.0,0.0,0.0,0.0,False,26.813076923076924
electricity,xgboost,ZScore,0.84636,0.00098,0.84716,-0.0008000000000000229,0.0008000000000000229,1.1900000000000002,-0.0006722689075630444,False,8.069230769230769
electricity,xgboost,IsolationForest,0.84098,0.00454,0.84716,-0.006180000000000074,0.006180000000000074,5.0,-0.0012360000000000149,False,4.9772727272727275
electricity,xgboost,IQR,0.81139,0.00112,0.84716,-0.03577000000000008,0.03577000000000008,20.06,-0.0017831505483549392,False,26.813076923076924
elevators,xgboost,ZScore,1e-05,0.0,1e-05,0.0,0.0,12.5,0.0,False,8.069230769230769
elevators,xgboost,IsolationForest,1e-05,0.0,1e-05,0.0,0.0,5.0,0.0,False,4.9772727272727275
elevators,xgboost,IQR,1e-05,0.0,1e-05,0.0,0.0,46.29,0.0,False,26.813076923076924
eucalyptus,xgboost,ZScore,0.57973,0.01977,0.57973,0.0,0.0,0.0,0.0,False,8.069230769230769
eucalyptus,xgboost,IQR,0.57973,0.01977,0.57973,0.0,0.0,0.0,0.0,False,26.813076923076924
eye_movements,xgboost,ZScore,0.46782,0.02218,0.484,-0.016179999999999972,0.016179999999999972,18.91,-0.0008556319407720768,False,8.069230769230769
eye_movements,xgboost,IsolationForest,0.48867,0.03239,0.484,0.0046700000000000075,0.0046700000000000075,4.9799999999999995,0.0009377510040160658,True,4.9772727272727275
eye_movements,xgboost,IQR,0.42258,0.00956,0.484,-0.061419999999999975,0.061419999999999975,57.34,-0.001071154516916637,False,26.813076923076924
house_16H,xgboost,ZScore,0.87087,0.00294,0.87709,-0.006220000000000003,0.006220000000000003,15.64,-0.00039769820971867026,False,8.069230769230769
house_16H,xgboost,IsolationForest,0.87546,0.00117,0.87709,-0.0016300000000000203,0.0016300000000000203,5.0,-0.0003260000000000041,False,4.9772727272727275
house_16H,xgboost,IQR,0.87035,0.00265,0.87709,-0.006740000000000079,0.006740000000000079,52.800000000000004,-0.00012765151515151663,False,26.813076923076924
kc1,xgboost,ZScore,0.84976,0.00856,0.86635,-0.016589999999999994,0.016589999999999994,9.86,-0.0016825557809330624,False,8.069230769230769
kc1,xgboost,IsolationForest,0.86209,0.01116,0.86635,-0.0042599999999999305,0.0042599999999999305,5.01,-0.000850299401197591,False,4.9772727272727275
kc1,xgboost,IQR,0.83128,0.00813,0.86635,-0.035069999999999935,0.035069999999999935,33.83,-0.0010366538575229069,False,26.813076923076924
phoneme,xgboost,ZScore,0.85957,0.00508,0.86346,-0.00389000000000006,0.00389000000000006,2.5700000000000003,-0.0015136186770428248,False,8.069230769230769
phoneme,xgboost,IsolationForest,0.86142,0.00338,0.86346,-0.0020400000000000418,0.0020400000000000418,4.97,-0.00041046277665996816,False,4.9772727272727275
phoneme,xgboost,IQR,0.83996,0.007,0.86346,-0.023499999999999965,0.023499999999999965,22.189999999999998,-0.001059035601622351,False,26.813076923076924
pol,xgboost,ZScore,0.88617,0.00672,0.98086,-0.09468999999999994,0.09468999999999994,35.99,-0.0026310086135037493,False,8.069230769230769
pol,xgboost,IsolationForest,0.97908,0.00216,0.98086,-0.0017800000000000038,0.0017800000000000038,5.0,-0.00035600000000000074,False,4.9772727272727275
pol,xgboost,IQR,0.69063,0.00104,0.98086,-0.29023,0.29023,88.55,-0.0032775832862789386,False,26.813076923076924
socmob,xgboost,ZScore,1376.68907,192.28483,1226.60493,150.08413999999993,150.08413999999993,1.38,108.75662318840575,True,8.069230769230769
socmob,xgboost,IsolationForest,1548.36513,142.60325,1226.60493,321.76019999999994,321.76019999999994,4.9,65.6653469387755,True,4.9772727272727275
socmob,xgboost,IQR,1680.15634,97.50837,1226.60493,453.55141000000003,453.55141000000003,13.96,32.48935601719198,True,26.813076923076924
vehicle,xgboost,ZScore,0.73647,0.0215,0.73176,0.004709999999999992,0.004709999999999992,3.2199999999999998,0.001462732919254656,True,8.069230769230769
vehicle,xgboost,IsolationForest,0.74824,0.02335,0.73176,0.01648000000000005,0.01648000000000005,4.96,0.0033225806451613006,True,4.9772727272727275
vehicle,xgboost,IQR,0.73176,0.02646,0.73176,0.0,0.0,6.11,0.0,False,26.813076923076924
