dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
connect-4,xgboost,Autoencoder,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.942
connect-4,randomforest,None,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.427
connect-4,randomforest,ZScore,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.341
connect-4,randomforest,ZScore,clip,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.374
connect-4,randomforest,Percentile,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.401
connect-4,randomforest,Percentile,clip,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.378
connect-4,randomforest,IsolationForest,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.370
connect-4,randomforest,LOF,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.382
connect-4,randomforest,Autoencoder,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.407
credit-g,mlp,None,remove,0.688000,0.023791,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.646
credit-g,mlp,ZScore,remove,0.687000,0.020396,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.578
credit-g,mlp,ZScore,clip,0.696000,0.026721,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.621
credit-g,mlp,Percentile,remove,0.676000,0.025962,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.456
credit-g,mlp,Percentile,clip,0.687000,0.022935,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.628
credit-g,mlp,IsolationForest,remove,0.698000,0.018601,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,0.601
credit-g,mlp,LOF,remove,0.694000,0.013191,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.599
credit-g,mlp,Autoencoder,remove,0.682000,0.013638,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.597
credit-g,xgboost,None,remove,0.726000,0.005831,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.057
credit-g,xgboost,ZScore,remove,0.742000,0.023580,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.054
credit-g,xgboost,ZScore,clip,0.704000,0.015937,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.055
credit-g,xgboost,Percentile,remove,0.725000,0.017029,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.051
credit-g,xgboost,Percentile,clip,0.737000,0.025807,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.055
credit-g,xgboost,IsolationForest,remove,0.735000,0.018166,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,0.051
credit-g,xgboost,LOF,remove,0.719000,0.016553,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.053
credit-g,xgboost,Autoencoder,remove,0.725000,0.006325,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.053
credit-g,randomforest,None,remove,0.737000,0.021587,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.218
credit-g,randomforest,ZScore,remove,0.721000,0.016553,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.212
credit-g,randomforest,ZScore,clip,0.736000,0.019339,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.216
credit-g,randomforest,Percentile,remove,0.728000,0.028390,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.196
credit-g,randomforest,Percentile,clip,0.732000,0.011662,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.213
credit-g,randomforest,IsolationForest,remove,0.725000,0.017029,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,0.210
credit-g,randomforest,LOF,remove,0.722000,0.011662,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.210
credit-g,randomforest,Autoencoder,remove,0.741000,0.024372,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.210
elevators,mlp,None,remove,0.000922,0.000259,10623,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.527
elevators,mlp,ZScore,remove,0.001819,0.000454,9295,1327.60,0.124974,0.00,0.00,0.000000,0.124974,0.326
elevators,mlp,ZScore,clip,0.001273,0.000288,10623,0.00,0.000000,2315.80,1327.60,0.124974,0.124974,0.388
elevators,mlp,Percentile,remove,0.041544,0.073094,5026,5596.40,0.526819,0.00,0.00,0.000000,0.526819,0.203
elevators,mlp,Percentile,clip,0.012871,0.022583,10623,0.00,0.000000,12786.00,5596.40,0.526819,0.526819,0.355
elevators,mlp,IsolationForest,remove,0.001180,0.000180,10091,531.20,0.050005,0.00,0.00,0.000000,0.050005,0.364
elevators,mlp,LOF,remove,0.001168,0.000398,10091,531.60,0.050042,0.00,0.00,0.000000,0.050042,0.417
elevators,mlp,Autoencoder,remove,0.001400,0.000409,10090,532.60,0.050136,0.00,0.00,0.000000,0.050136,0.452
elevators,xgboost,None,remove,0.000006,0.000000,10623,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.118
elevators,xgboost,ZScore,remove,0.000008,0.000000,9295,1327.60,0.124974,0.00,0.00,0.000000,0.124974,0.094
elevators,xgboost,ZScore,clip,0.000007,0.000000,10623,0.00,0.000000,2315.80,1327.60,0.124974,0.124974,0.103
elevators,xgboost,Percentile,remove,0.000014,0.000000,5026,5596.40,0.526819,0.00,0.00,0.000000,0.526819,0.058
elevators,xgboost,Percentile,clip,0.000009,0.000000,10623,0.00,0.000000,12786.00,5596.40,0.526819,0.526819,0.090
elevators,xgboost,IsolationForest,remove,0.000008,0.000000,10091,531.20,0.050005,0.00,0.00,0.000000,0.050005,0.098
elevators,xgboost,LOF,remove,0.000007,0.000000,10091,531.60,0.050042,0.00,0.00,0.000000,0.050042,0.105
elevators,xgboost,Autoencoder,remove,0.000006,0.000000,10090,532.60,0.050136,0.00,0.00,0.000000,0.050136,0.103
elevators,randomforest,None,remove,0.000009,0.000000,10623,0.00,0.000000,0.00,0.00,0.000000,0.000000,4.967
elevators,randomforest,ZScore,remove,0.000011,0.000000,9295,1327.60,0.124974,0.00,0.00,0.000000,0.124974,4.213
elevators,randomforest,ZScore,clip,0.000009,0.000000,10623,0.00,0.000000,2315.80,1327.60,0.124974,0.124974,4.956
elevators,randomforest,Percentile,remove,0.000016,0.000001,5026,5596.40,0.526819,0.00,0.00,0.000000,0.526819,2.011
elevators,randomforest,Percentile,clip,0.000011,0.000000,10623,0.00,0.000000,12786.00,5596.40,0.526819,0.526819,4.482
elevators,randomforest,IsolationForest,remove,0.000011,0.000000,10091,531.20,0.050005,0.00,0.00,0.000000,0.050005,4.636
elevators,randomforest,LOF,remove,0.000009,0.000000,10091,531.60,0.050042,0.00,0.00,0.000000,0.050042,4.657
elevators,randomforest,Autoencoder,remove,0.000009,0.000000,10090,532.60,0.050136,0.00,0.00,0.000000,0.050136,4.684
eucalyptus,mlp,None,remove,0.540541,0.017619,470,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.520
eucalyptus,mlp,ZScore,remove,0.555405,0.025426,457,12.40,0.026383,0.00,0.00,0.000000,0.026383,0.510
eucalyptus,mlp,ZScore,clip,0.541892,0.010811,470,0.00,0.000000,386.00,85.80,0.182553,0.182553,0.521
eucalyptus,mlp,Percentile,remove,0.443243,0.046144,316,153.40,0.326383,0.00,0.00,0.000000,0.326383,0.352
eucalyptus,mlp,Percentile,clip,0.463514,0.015169,470,0.00,0.000000,583.00,191.60,0.407660,0.407660,0.526
