dataset,model,outlier,run,score
cmc,xgboost,IsolationForest,1,43,0.51186
cmc,xgboost,IsolationForest,2,44,0.51186
cmc,xgboost,IsolationForest,3,45,0.51186
cmc,xgboost,IsolationForest,4,46,0.51186
cmc,xgboost,IQR,0,42,0.51186
cmc,xgboost,IQR,1,43,0.51186
cmc,xgboost,IQR,2,44,0.51186
cmc,xgboost,IQR,3,45,0.51186
cmc,xgboost,IQR,4,46,0.51186
cmc,randomforest,None,0,42,0.52203
cmc,randomforest,None,1,43,0.52881
cmc,randomforest,None,2,44,0.50847
cmc,randomforest,None,3,45,0.51525
cmc,randomforest,None,4,46,0.52881
cmc,randomforest,ZScore,0,42,0.52203
cmc,randomforest,ZScore,1,43,0.52881
cmc,randomforest,ZScore,2,44,0.50847
cmc,randomforest,ZScore,3,45,0.51525
cmc,randomforest,ZScore,4,46,0.52881
cmc,randomforest,IsolationForest,0,42,0.52203
cmc,randomforest,IsolationForest,1,43,0.52881
cmc,randomforest,IsolationForest,2,44,0.50847
cmc,randomforest,IsolationForest,3,45,0.51525
cmc,randomforest,IsolationForest,4,46,0.52881
cmc,randomforest,IQR,0,42,0.52203
cmc,randomforest,IQR,1,43,0.52881
cmc,randomforest,IQR,2,44,0.50847
cmc,randomforest,IQR,3,45,0.51525
cmc,randomforest,IQR,4,46,0.52881
cmc,mlp,None,0,42,0.57627
cmc,mlp,None,1,43,0.58644
cmc,mlp,None,2,44,0.59661
cmc,mlp,None,3,45,0.58983
cmc,mlp,None,4,46,0.57627
cmc,mlp,ZScore,0,42,0.57627
cmc,mlp,ZScore,1,43,0.58644
cmc,mlp,ZScore,2,44,0.59661
cmc,mlp,ZScore,3,45,0.58983
cmc,mlp,ZScore,4,46,0.57627
cmc,mlp,IsolationForest,0,42,0.57627
cmc,mlp,IsolationForest,1,43,0.58644
cmc,mlp,IsolationForest,2,44,0.59661
cmc,mlp,IsolationForest,3,45,0.58983
cmc,mlp,IsolationForest,4,46,0.57627
cmc,mlp,IQR,0,42,0.57627
cmc,mlp,IQR,1,43,0.58644
cmc,mlp,IQR,2,44,0.59661
cmc,mlp,IQR,3,45,0.58983
cmc,mlp,IQR,4,46,0.57627
cmc,xgboost,None,0,42,0.51186
cmc,xgboost,None,1,43,0.51186
cmc,xgboost,None,2,44,0.51186
cmc,xgboost,None,3,45,0.51186
cmc,xgboost,None,4,46,0.51186
cmc,xgboost,ZScore,0,42,0.51186
cmc,xgboost,ZScore,1,43,0.51186
cmc,xgboost,ZScore,2,44,0.51186
cmc,xgboost,ZScore,3,45,0.51186
cmc,xgboost,ZScore,4,46,0.51186
cmc,xgboost,IsolationForest,0,42,0.51186
cmc,xgboost,IsolationForest,1,43,0.51186
cmc,xgboost,IsolationForest,2,44,0.51186
cmc,xgboost,IsolationForest,3,45,0.51186
cmc,xgboost,IsolationForest,4,46,0.51186
cmc,xgboost,IQR,0,42,0.51186
cmc,xgboost,IQR,1,43,0.51186
cmc,xgboost,IQR,2,44,0.51186
cmc,xgboost,IQR,3,45,0.51186
cmc,xgboost,IQR,4,46,0.51186
cmc,randomforest,None,0,42,0.52203
cmc,randomforest,None,1,43,0.52881
cmc,randomforest,None,2,44,0.50847
cmc,randomforest,None,3,45,0.51525
cmc,randomforest,None,4,46,0.52881
